index;link;names_surnames;nickname;date_of_birth;place_of_birth;height;profession;famous_movie;number_of_acts;oscars;star_sign
863;https://www.imdb.com/name/nm0000596?ref_=nmls_hd;Jonathan Pryce;;June 1, 1947;Holywell, Flintshire, Wales, UK;1.8;Actor;The Two Popes;126;1;Gemini
862;https://www.imdb.com/name/nm0000314?ref_=nmls_hd;Charles Bronson;"Il Brutto
                
See more

                »";November 3, 1921;Ehrenfeld, Pennsylvania, USA;1.7;Actor;C'era una volta il West;163;1;Scorpio
861;https://www.imdb.com/name/nm0322407?ref_=nmls_hd;Brendan Gleeson;;March 29, 1955;Dublin, Ireland;1.8;Actor;Calvary;103;4;Aries
860;https://www.imdb.com/name/nm0121605?ref_=nmls_hd;Billy Burke;;November 25, 1966;Everett, Washington, USA;1.8;Actor;Twilight;70;1;Sagittarius
859;https://www.imdb.com/name/nm0000474?ref_=nmls_hd;Michael Keaton;"Keats
                
See more

                »";September 5, 1951;Coraopolis, Pennsylvania, USA;1.7;Actor;Birdman or (The Unexpected Virtue of Ignorance);90;1;Virgo
858;https://www.imdb.com/name/nm0000491?ref_=nmls_hd;John Leguizamo;"John Leguizama
                
See more

                »";July 22, 1964;Bogotá, Colombia;1.6;Actor;Moulin Rouge!;150;1;Cancer
857;https://www.imdb.com/name/nm0000598?ref_=nmls_hd;Dennis Quaid;;April 9, 1954;Houston, Texas, USA;1.8;Actor;The Day After Tomorrow;105;2;Aries
856;https://www.imdb.com/name/nm0004051?ref_=nmls_hd;Brian Cox;;June 1, 1946;Dundee, Scotland, UK;1.6;Actor;X2;227;1;Gemini
855;https://www.imdb.com/name/nm0000681?ref_=nmls_hd;Vince Vaughn;Mr Sunshine;March 28, 1970;Minneapolis, Minnesota, USA;1.9;Actor;The Break-Up;78;815;Aries
854;https://www.imdb.com/name/nm0000442?ref_=nmls_hd;Rutger Hauer;The Dutch Paul Newman;January 23, 1944;Breukelen, Utrecht, Netherlands;1.8;Actor;Blade Runner;175;1;Aquarius
853;https://www.imdb.com/name/nm0000610?ref_=nmls_hd;Giovanni Ribisi;"Vanni
                
See more

                »";December 17, 1974;Los Angeles, California, USA;1.7;Actor;Boiler Room;100;1;Sagittarius
852;https://www.imdb.com/name/nm0000741?ref_=nmls_hd;Tim Allen;The Tool Man;June 13, 1953;Denver, Colorado, USA;1.7;Actor;Toy Story;52;1;Gemini
851;https://www.imdb.com/name/nm0005188?ref_=nmls_hd;James Marsden;"Bello Jimmy
                
See more

                »";September 18, 1973;Stillwater, Oklahoma, USA;1.7;Actor;Hairspray;77;616;Virgo
850;https://www.imdb.com/name/nm0000515?ref_=nmls_hd;Virginia Madsen;Gina;September 11, 1961;Chicago, Illinois, USA;1.6;Actress;Sideways;128;1;Virgo
849;https://www.imdb.com/name/nm0601553?ref_=nmls_hd;Mandy Moore;;April 10, 1984;Nashua, New Hampshire, USA;1.7;Actress;A Walk to Remember;78;1;Aries
848;https://www.imdb.com/name/nm0005527?ref_=nmls_hd;Sofía Vergara;La Toti;July 10, 1972;Barranquilla, Colombia;1.7;Actress;Hot Pursuit;44;4;Cancer
847;https://www.imdb.com/name/nm7248827?ref_=nmls_hd;Cynthia Erivo;;January 8, 1987;Stockwell, London, England, UK;1.5;Actress;Bad Times at the El Royale;17;2;Capricorn
846;https://www.imdb.com/name/nm1779870?ref_=nmls_hd;Brit Marling;;August 7, 1982;Chicago, Illinois, USA;1.7;Actress;Another Earth;14;414;Leo
845;https://www.imdb.com/name/nm0001435?ref_=nmls_hd;Lisa Kudrow;Smart;July 30, 1963;Encino, Los Angeles, California, USA;1.7;Actress;Friends;85;1;Leo
844;https://www.imdb.com/name/nm0004789?ref_=nmls_hd;Amanda Bynes;Chicky;April 3, 1986;Thousand Oaks, California, USA;1.7;Actress;Hairspray;20;920;Aries
843;https://www.imdb.com/name/nm0955471?ref_=nmls_hd;Ziyi Zhang;;February 9, 1979;Beijing, China;1.6;Actress;Yi dai zong shi;39;1;Aquarius
842;https://www.imdb.com/name/nm0000227?ref_=nmls_hd;Mira Sorvino;;September 28, 1967;New York City, New York, USA;1.7;Actress;Mighty Aphrodite;104;1;Libra
841;https://www.imdb.com/name/nm0939697?ref_=nmls_hd;Evan Rachel Wood;Evie;September 7, 1987;Raleigh, North Carolina, USA;1.7;Actress;Thirteen;60;3;Virgo
840;https://www.imdb.com/name/nm0098378?ref_=nmls_hd;Kate Bosworth;Katie;January 2, 1983;Los Angeles, California, USA;1.6;Actress;Superman Returns;46;410;Capricorn
839;https://www.imdb.com/name/nm0005049?ref_=nmls_hd;Allison Janney;;November 19, 1959;Dayton, Ohio, USA;1.8;Actress;The Help;135;1;Scorpio
838;https://www.imdb.com/name/nm0000132?ref_=nmls_hd;Claire Danes;;April 12, 1979;Manhattan, New York City, New York, USA;1.6;Actress;My So-Called Life;43;4;Aries
837;https://www.imdb.com/name/nm1157358?ref_=nmls_hd;Michelle Monaghan;;March 23, 1976;Winthrop, Iowa, USA;1.7;Actress;Kiss Kiss Bang Bang;50;1;Aries
836;https://www.imdb.com/name/nm1745736?ref_=nmls_hd;Paula Patton;;December 5, 1975;Los Angeles, California, USA;1.7;Actress;Mission: Impossible - Ghost Protocol;28;112;Sagittarius
835;https://www.imdb.com/name/nm0000205?ref_=nmls_hd;Parker Posey;"Queen of the Indies
                
See more

                »";November 8, 1968;Baltimore, Maryland, USA;1.6;Actress;Scream 3;101;1;Scorpio
834;https://www.imdb.com/name/nm0001073?ref_=nmls_hd;Courteney Cox;"Coco
                
See more

                »";June 15, 1964;Birmingham, Alabama, USA;1.6;Actress;Friends;70;1;Gemini
833;https://www.imdb.com/name/nm0005305?ref_=nmls_hd;Piper Perabo;;October 31, 1976;Dallas, Texas, USA;1.6;Actress;Coyote Ugly;48;1;Scorpio
832;https://www.imdb.com/name/nm0356017?ref_=nmls_hd;Rebecca Hall;;May 3, 1982;London, England, UK;1.7;Actress;Vicky Cristina Barcelona;43;1;Taurus
831;https://www.imdb.com/name/nm0461498?ref_=nmls_hd;Beyoncé;"Mothe
                
See more

                »";September 4, 1981;Houston, Texas, USA;1.7;Actress;Dreamgirls;131;4;Virgo
830;https://www.imdb.com/name/nm0452288?ref_=nmls_hd;Margot Kidder;Margie;October 17, 1948;Yellowknife, Northwest Territories, Canada;1.7;Actress;Superman;137;88;Libra
829;https://www.imdb.com/name/nm0644897?ref_=nmls_hd;Sandra Oh;;July 20, 1971;Nepean, Ontario, Canada;1.6;Actress;Killing Eve;87;2;Cancer
828;https://www.imdb.com/name/nm0001264?ref_=nmls_hd;Sarah Michelle Gellar;"SMG
                
See more

                »";April 14, 1977;New York City, New York, USA;1.6;Actress;Buffy the Vampire Slayer;63;1;Aries
827;https://www.imdb.com/name/nm0735442?ref_=nmls_hd;Michelle Rodriguez;MRod;July 12, 1978;San Antonio, Texas, USA;1.6;Actress;Avatar;53;1131;Cancer
826;https://www.imdb.com/name/nm0001333?ref_=nmls_hd;Susan Hayward;"Red
                
See more

                »";June 30, 1917;Brooklyn, New York City, New York, USA;1.6;Actress;With a Song in My Heart;64;1;Cancer
825;https://www.imdb.com/name/nm0000362?ref_=nmls_hd;Danny DeVito;;November 17, 1944;Asbury Park, New Jersey, USA;1.4;Actor;Matilda;138;1;Scorpio
824;https://www.imdb.com/name/nm0000704?ref_=nmls_hd;Elijah Wood;"Monkey
                
See more

                »";January 28, 1981;Cedar Rapids, Iowa, USA;1.6;Actor;The Lord of the Rings: The Fellowship of the Ring;115;2948;Aquarius
823;https://www.imdb.com/name/nm0879085?ref_=nmls_hd;Tyrese Gibson;;December 30, 1978;Watts, Los Angeles, California, USA;1.8;Actor;Baby Boy;51;319;Capricorn
822;https://www.imdb.com/name/nm0000196?ref_=nmls_hd;Mike Myers;;May 25, 1963;Scarborough, Ontario, Canada;1.7;Actor;Austin Powers: The Spy Who Shagged Me;56;1;Gemini
821;https://www.imdb.com/name/nm0002907?ref_=nmls_hd;Alexander Skarsgård;Alex;August 25, 1976;Stockholm, Stockholms län, Sweden;1.9;Actor;The Legend of Tarzan;64;1;Virgo
820;https://www.imdb.com/name/nm0001745?ref_=nmls_hd;Stellan Skarsgård;Skarzie;June 13, 1951;Gothenburg, Västra Götalands län, Sweden;1.9;Actor;Good Will Hunting;149;1;Gemini
818;https://www.imdb.com/name/nm0000422?ref_=nmls_hd;John Goodman;;June 20, 1952;St. Louis, Missouri, USA;1.8;Actor;10 Cloverfield Lane;162;1;Gemini
819;https://www.imdb.com/name/nm0089217?ref_=nmls_hd;Orlando Bloom;Orli;January 13, 1977;Canterbury, Kent, England, UK;1.8;Actor;The Lord of the Rings: The Fellowship of the Ring;43;2828;Capricorn
817;https://www.imdb.com/name/nm0000345?ref_=nmls_hd;Billy Crystal;Face;March 14, 1948;Yorkville, Manhattan, New York City, New York, USA;1.7;Actor;Forget Paris;72;3;Pisces
816;https://www.imdb.com/name/nm0001777?ref_=nmls_hd;Dean Stockwell;;March 5, 1936;North Hollywood, Los Angeles, California, USA;1.7;Actor;Quantum Leap;204;1;Pisces
815;https://www.imdb.com/name/nm0000203?ref_=nmls_hd;River Phoenix;"Riv
                
See more

                »";August 23, 1970;Madras, Oregon, USA;1.7;Actor;My Own Private Idaho;25;1;Virgo
814;https://www.imdb.com/name/nm0000732?ref_=nmls_hd;Danny Aiello;;June 20, 1933;Manhattan, New York City, New York, USA;1.8;Actor;Do the Right Thing;106;1;Gemini
813;https://www.imdb.com/name/nm0000101?ref_=nmls_hd;Dan Aykroyd;Danny;July 1, 1952;Ottawa, Ontario, Canada;1.8;Actor;Ghost Busters;111;1;Cancer
812;https://www.imdb.com/name/nm0001117?ref_=nmls_hd;Bruce Davison;;June 28, 1946;Philadelphia, Pennsylvania, USA;1.8;Actor;X-Men;270;1;Cancer
811;https://www.imdb.com/name/nm0001295?ref_=nmls_hd;Graham Greene;;June 22, 1952;Six Nations Reserve, Ontario, Canada;1.7;Actor;The Green Mile;165;1;Cancer
810;https://www.imdb.com/name/nm0503627?ref_=nmls_hd;Michael Lerner;;June 22, 1941;Brooklyn, New York, USA;1.7;Actor;Barton Fink;182;1;Cancer
809;https://www.imdb.com/name/nm0000412?ref_=nmls_hd;Andy Garcia;;April 12, 1956;Havana, Cuba;1.7;Actor;Ocean's Eleven;104;1;Aries
808;https://www.imdb.com/name/nm0753314?ref_=nmls_hd;Mark Rylance;;January 18, 1960;Ashford, Kent, England, UK;1.7;Actor;Bridge of Spies;38;1;Capricorn
807;https://www.imdb.com/name/nm0000221?ref_=nmls_hd;Charlie Sheen;"The Machine
                
See more

                »";September 3, 1965;New York City, New York, USA;1.7;Actor;Two and a Half Men;86;1;Virgo
806;https://www.imdb.com/name/nm0000439?ref_=nmls_hd;Neil Patrick Harris;NPH;June 15, 1973;Albuquerque, New Mexico, USA;1.8;Actor;How I Met Your Mother;108;4;Gemini
805;https://www.imdb.com/name/nm0358316?ref_=nmls_hd;Jon Hamm;;March 10, 1971;St. Louis, Missouri, USA;1.8;Actor;Mad Men;106;2;Pisces
804;https://www.imdb.com/name/nm0001674?ref_=nmls_hd;Chris Rock;Chrissy;February 7, 1965;Andrews, South Carolina, USA;1.7;Actor;Top Five;78;4;Aquarius
803;https://www.imdb.com/name/nm0000501?ref_=nmls_hd;Ray Liotta;;December 18, 1954;Newark, New Jersey, USA;1.8;Actor;Goodfellas;119;1;Sagittarius
802;https://www.imdb.com/name/nm0296545?ref_=nmls_hd;Nick Frost;;March 28, 1972;Hornchurch, Essex, England, UK;1.7;Actor;Paul;68;24;Aries
801;https://www.imdb.com/name/nm0000152?ref_=nmls_hd;Richard Gere;;August 31, 1949;Philadelphia, Pennsylvania, USA;1.7;Actor;Chicago;60;1;Virgo
799;https://www.imdb.com/name/nm1275259?ref_=nmls_hd;Alexandra Daddario;;March 16, 1986;New York City, New York, USA;1.7;Actress;Baywatch;60;15;Pisces
798;https://www.imdb.com/name/nm0000495?ref_=nmls_hd;Téa Leoni;;February 25, 1966;New York City, New York, USA;1.7;Actress;The Family Man;27;110;Pisces
797;https://www.imdb.com/name/nm0428065?ref_=nmls_hd;Felicity Jones;;October 17, 1983;Birmingham, West Midlands, England, UK;1.6;Actress;Rogue One;43;1;Libra
796;https://www.imdb.com/name/nm0000505?ref_=nmls_hd;Nia Long;Nia;October 30, 1970;Brooklyn, New York, USA;1.5;Actress;Big Momma's House;67;714;Scorpio
795;https://www.imdb.com/name/nm0000775?ref_=nmls_hd;Christina Applegate;;November 25, 1971;Hollywood, Los Angeles, California, USA;1.6;Actress;Don't Tell Mom the Babysitter's Dead;79;4;Sagittarius
794;https://www.imdb.com/name/nm3592338?ref_=nmls_hd;Emilia Clarke;Milly;October 23, 1986;London, England, UK;1.5;Actress;Game of Thrones;22;4;Scorpio
793;https://www.imdb.com/name/nm0000171?ref_=nmls_hd;Ashley Judd;"Ash
                
See more

                »";April 19, 1968;Granada Hills, California, USA;1.7;Actress;Double Jeopardy;53;2;Aries
792;https://www.imdb.com/name/nm0126284?ref_=nmls_hd;Rose Byrne;Rosie;July 24, 1979;Balmain, Sydney, New South Wales, Australia;1.6;Actress;Spy;73;2;Leo
791;https://www.imdb.com/name/nm1289434?ref_=nmls_hd;Emily Blunt;"Boop
                
See more

                »";February 23, 1983;Roehampton, London, England, UK;1.7;Actress;Edge of Tomorrow;48;1;Pisces
790;https://www.imdb.com/name/nm0578949?ref_=nmls_hd;Eva Mendes;;March 5, 1974;Miami, Florida, USA;1.6;Actress;Hitch;42;216;Pisces
789;https://www.imdb.com/name/nm0004742?ref_=nmls_hd;Maria Bello;;April 18, 1967;Norristown, Pennsylvania, USA;1.6;Actress;A History of Violence;67;2;Aries
788;https://www.imdb.com/name/nm0005466?ref_=nmls_hd;Julia Stiles;;March 28, 1981;New York City, New York, USA;1.7;Actress;10 Things I Hate About You;59;1;Aries
787;https://www.imdb.com/name/nm0001605?ref_=nmls_hd;Amanda Peet;;January 11, 1972;New York City, New York, USA;1.6;Actress;2012;69;27;Capricorn
786;https://www.imdb.com/name/nm0688132?ref_=nmls_hd;Amy Poehler;"Crazy Amy
                
See more

                »";September 16, 1971;Burlington, Massachusetts, USA;1.5;Actress;Inside Out;92;1;Virgo
785;https://www.imdb.com/name/nm0628601?ref_=nmls_hd;Thandie Newton;;November 6, 1972;Westminster, London, England, UK;1.6;Actress;Crash;47;2;Scorpio
784;https://www.imdb.com/name/nm1411676?ref_=nmls_hd;Mindy Kaling;;June 24, 1979;Cambridge, Massachusetts, USA;1.6;Actress;The Office;37;6;Cancer
783;https://www.imdb.com/name/nm0005182?ref_=nmls_hd;Leslie Mann;;March 26, 1972;San Francisco, California, USA;1.6;Actress;Knocked Up;44;26;Aries
782;https://www.imdb.com/name/nm0001372?ref_=nmls_hd;Bonnie Hunt;;September 22, 1961;Chicago, Illinois, USA;1.7;Actress;Jumanji;55;2;Virgo
781;https://www.imdb.com/name/nm0683253?ref_=nmls_hd;Rosamund Pike;Ros;January 27, 1979;Hammersmith, London, England, UK;1.7;Actress;Gone Girl;55;1;Aquarius
780;https://www.imdb.com/name/nm0000463?ref_=nmls_hd;Famke Janssen;;November 5, 1964;Amstelveen, Noord-Holland, Netherlands;1.8;Actress;X-Men: The Last Stand;71;58;Scorpio
779;https://www.imdb.com/name/nm0567408?ref_=nmls_hd;Hattie McDaniel;"The Colored Sophie Tucker
                
See more

                »";June 10, 1893;Wichita, Kansas, USA;1.5;Actress;Gone with the Wind;98;1;Gemini
778;https://www.imdb.com/name/nm0267506?ref_=nmls_hd;Anna Faris;Baltimore's-Best-Beautiful-Blonde;November 29, 1976;Baltimore, Maryland, USA;1.6;Actress;The House Bunny;52;123;Sagittarius
777;https://www.imdb.com/name/nm0001575?ref_=nmls_hd;Tatum O'Neal;"Tantrum
                
See more

                »";November 5, 1963;Los Angeles, California, USA;1.7;Actress;Paper Moon;38;1;Scorpio
776;https://www.imdb.com/name/nm0000586?ref_=nmls_hd;Jada Pinkett Smith;;September 18, 1971;Baltimore, Maryland, USA;1.5;Actress;The Matrix Revolutions;48;728;Virgo
775;https://www.imdb.com/name/nm0915989?ref_=nmls_hd;Hugo Weaving;;April 4, 1960;Ibadan, Nigeria;1.8;Actor;The Lord of the Rings: The Return of the King;92;3134;Aries
774;https://www.imdb.com/name/nm0000592?ref_=nmls_hd;Pete Postlethwaite;;February 7, 1946;Warrington, Lancashire, England, UK;1.7;Actor;The Usual Suspects;102;1;Aquarius
773;https://www.imdb.com/name/nm0006890?ref_=nmls_hd;Paul Scofield;;January 21, 1922;Hurstpierpoint, West Sussex, England, UK;1.8;Actor;A Man for All Seasons;42;1;Aquarius
772;https://www.imdb.com/name/nm0000641?ref_=nmls_hd;Gary Sinise;;March 17, 1955;Blue Island, Illinois, USA;1.7;Actor;Forrest Gump;56;1;Pisces
771;https://www.imdb.com/name/nm0001590?ref_=nmls_hd;Chazz Palminteri;;May 15, 1952;New York City, New York, USA;1.8;Actor;The Usual Suspects;76;1;Taurus
770;https://www.imdb.com/name/nm0000342?ref_=nmls_hd;James Cromwell;Jamie;January 27, 1940;Los Angeles, California, USA;2.0;Actor;The Green Mile;188;1;Aquarius
769;https://www.imdb.com/name/nm0000619?ref_=nmls_hd;Tim Roth;;May 14, 1961;Dulwich, London, England, UK;1.7;Actor;Rob Roy;106;1;Taurus
768;https://www.imdb.com/name/nm0000090?ref_=nmls_hd;Armin Mueller-Stahl;;December 17, 1930;Tilsit, East Prussia, Germany [now Sovetsk, Kaliningrad Oblast, Russia];1.8;Actor;Eastern Promises;141;1;Sagittarius
767;https://www.imdb.com/name/nm0000513?ref_=nmls_hd;William H. Macy;"Bill
                
See more

                »";March 13, 1950;Miami, Florida, USA;1.7;Actor;Fargo;139;1;Pisces
766;https://www.imdb.com/name/nm0005403?ref_=nmls_hd;Jason Schwartzman;;June 26, 1980;Los Angeles, California, USA;1.6;Actor;Rushmore;73;1119;Cancer
765;https://www.imdb.com/name/nm0001233?ref_=nmls_hd;Robert Forster;"Bob
                
See more

                »";July 13, 1941;Rochester, New York, USA;1.7;Actor;Jackie Brown;189;1;Cancer
764;https://www.imdb.com/name/nm0000608?ref_=nmls_hd;Burt Reynolds;Buddy;February 11, 1936;Lansing, Michigan, USA;1.8;Actor;Boogie Nights;185;1;Aquarius
763;https://www.imdb.com/name/nm0001427?ref_=nmls_hd;Greg Kinnear;;June 17, 1963;Logansport, Indiana, USA;1.7;Actor;As Good as It Gets;75;1;Gemini
762;https://www.imdb.com/name/nm0005286?ref_=nmls_hd;Haley Joel Osment;HJO;April 10, 1988;Los Angeles, California, USA;1.6;Actor;The Sixth Sense;97;1;Aries
761;https://www.imdb.com/name/nm0003817?ref_=nmls_hd;Michael Clarke Duncan;"Papa Bear
                
See more

                »";December 10, 1957;Chicago, Illinois, USA;1.9;Actor;The Green Mile;99;1;Sagittarius
760;https://www.imdb.com/name/nm0000604?ref_=nmls_hd;John C. Reilly;;May 24, 1965;Chicago, Illinois, USA;1.8;Actor;Chicago;106;1;Gemini
759;https://www.imdb.com/name/nm4139037?ref_=nmls_hd;Suraj Sharma;;March 21, 1993;New Delhi, India;1.7;Actor;Life of Pi;13;48;Aries
758;https://www.imdb.com/name/nm0913822?ref_=nmls_hd;Ken Watanabe;;October 21, 1959;Uonuma, Japan;1.8;Actor;The Last Samurai;78;1;Libra
757;https://www.imdb.com/name/nm0654110?ref_=nmls_hd;Clive Owen;;October 3, 1964;Keresley, Coventry, Warwickshire, England, UK;1.8;Actor;Children of Men;78;1;Libra
756;https://www.imdb.com/name/nm0002006?ref_=nmls_hd;Thomas Haden Church;;June 17, 1960;Yolo, California, USA;1.8;Actor;Sideways;67;1;Gemini
755;https://www.imdb.com/name/nm0000257?ref_=nmls_hd;Alan Alda;;January 28, 1936;Manhattan, New York City, New York, USA;1.8;Actor;M*A*S*H;68;1;Aquarius
754;https://www.imdb.com/name/nm0000369?ref_=nmls_hd;Matt Dillon;;February 18, 1964;New Rochelle, New York, USA;1.7;Actor;Crash;65;1;Aquarius
753;https://www.imdb.com/name/nm0005023?ref_=nmls_hd;Djimon Hounsou;;April 24, 1964;Cotonou, Benin;1.8;Actor;Blood Diamond;62;2;Taurus
752;https://www.imdb.com/name/nm0001358?ref_=nmls_hd;Hal Holbrook;;February 17, 1925;Cleveland, Ohio, USA;1.8;Actor;Into the Wild;135;1;Aquarius
751;https://www.imdb.com/name/nm0000982?ref_=nmls_hd;Josh Brolin;;February 12, 1968;Santa Monica, California, USA;1.7;Actor;Avengers: Endgame;74;1;Aquarius
750;https://www.imdb.com/name/nm0001631?ref_=nmls_hd;Sarah Polley;;January 8, 1979;Toronto, Ontario, Canada;1.5;Actress;Dawn of the Dead;55;1;Capricorn
749;https://www.imdb.com/name/nm0781029?ref_=nmls_hd;Jean Seberg;;November 13, 1938;Marshalltown, Iowa, USA;1.6;Actress;À bout de souffle;35;1;Scorpio
748;https://www.imdb.com/name/nm0005392?ref_=nmls_hd;Keri Russell;Care Bear;March 23, 1976;Fountain Valley, California, USA;1.6;Actress;Waitress;44;1;Aries
747;https://www.imdb.com/name/nm0000414?ref_=nmls_hd;Teri Garr;;December 11, 1947;Lakewood, Ohio, USA;1.7;Actress;Close Encounters of the Third Kind;153;1;Sagittarius
746;https://www.imdb.com/name/nm0000378?ref_=nmls_hd;Minnie Driver;;January 31, 1970;Middlesex Hospital, London, England, UK;1.7;Actress;Grosse Pointe Blank;82;1;Aquarius
745;https://www.imdb.com/name/nm0000556?ref_=nmls_hd;Olivia Newton-John;"Lovely Livvy
                
See more

                »";September 26, 1948;Cambridge, Cambridgeshire, England, UK;1.6;Actress;Grease;91;1;Libra
744;https://www.imdb.com/name/nm0528987?ref_=nmls_hd;Sue Lyon;;July 10, 1946;Davenport, Iowa, USA;1.6;Actress;Lolita;26;1;Cancer
743;https://www.imdb.com/name/nm2933757?ref_=nmls_hd;Gal Gadot;;April 30, 1985;Rosh Ha'ayin, Israel;1.7;Actress;Wonder Woman;36;620;Taurus
742;https://www.imdb.com/name/nm0001735?ref_=nmls_hd;Talia Shire;Tally;April 25, 1946;Lake Success, Long Island, New York, USA;1.6;Actress;Rocky;73;2;Taurus
741;https://www.imdb.com/name/nm0001784?ref_=nmls_hd;Gloria Stuart;;July 4, 1910;Santa Monica, California, USA;1.6;Actress;Titanic;80;1;Cancer
740;https://www.imdb.com/name/nm0005412?ref_=nmls_hd;Jane Seymour;The Queen of the Miniseries;February 15, 1951;Hayes, Hayes and Harlington, Middlesex, England, UK;1.6;Actress;Live and Let Die;148;2;Aquarius
739;https://www.imdb.com/name/nm0005499?ref_=nmls_hd;Lily Tomlin;;September 1, 1939;Detroit, Michigan, USA;1.6;Actress;Nashville;66;1;Virgo
738;https://www.imdb.com/name/nm1415323?ref_=nmls_hd;Miley Cyrus;Smiley;November 23, 1992;Franklin, Tennessee, USA;1.6;Actress;Hannah Montana;70;1;Sagittarius
737;https://www.imdb.com/name/nm0001453?ref_=nmls_hd;Piper Laurie;Rosie;January 22, 1932;Detroit, Michigan, USA;1.6;Actress;The Hustler;117;3;Aquarius
736;https://www.imdb.com/name/nm0000572?ref_=nmls_hd;Sarah Jessica Parker;SJP;March 25, 1965;Nelsonville, Ohio, USA;1.6;Actress;Sex and the City;64;4;Aries
735;https://www.imdb.com/name/nm0000496?ref_=nmls_hd;Juliette Lewis;;June 21, 1973;Los Angeles, California, USA;1.6;Actress;Natural Born Killers;96;1;Cancer
734;https://www.imdb.com/name/nm0115161?ref_=nmls_hd;Emily Browning;Em;December 7, 1988;Melbourne, Victoria, Australia;1.5;Actress;A Series of Unfortunate Events;30;59;Sagittarius
733;https://www.imdb.com/name/nm0001951?ref_=nmls_hd;Björk;;November 21, 1965;Reykjavik, Iceland;1.6;Actress;Dancer in the Dark;67;1;Scorpio
732;https://www.imdb.com/name/nm0000427?ref_=nmls_hd;Pam Grier;;May 26, 1949;Winston-Salem, North Carolina, USA;1.7;Actress;Jackie Brown;104;1;Gemini
731;https://www.imdb.com/name/nm0000402?ref_=nmls_hd;Carrie Fisher;;October 21, 1956;Burbank, California, USA;1.5;Actress;Star Wars: Episode VIII - The Last Jedi;93;3;Libra
730;https://www.imdb.com/name/nm0000157?ref_=nmls_hd;Linda Hamilton;;September 26, 1956;Salisbury, Maryland, USA;1.6;Actress;Terminator 2: Judgment Day;78;3;Libra
729;https://www.imdb.com/name/nm0000365?ref_=nmls_hd;Julie Delpy;;December 21, 1969;Paris, France;1.7;Actress;Trois couleurs: Blanc;64;2;Sagittarius
728;https://www.imdb.com/name/nm0424848?ref_=nmls_hd;Dakota Johnson;Coqui;October 4, 1989;Austin, Texas, USA;1.7;Actress;Fifty Shades of Grey;34;1015;Libra
727;https://www.imdb.com/name/nm2244205?ref_=nmls_hd;Léa Seydoux;;July 1, 1985;Paris, France;1.6;Actress;La vie d'Adèle;47;1634;Cancer
726;https://www.imdb.com/name/nm0000706?ref_=nmls_hd;Michelle Yeoh;;August 6, 1962;Ipoh, Perak, Malaysia;1.6;Actress;Wo hu cang long;64;1;Leo
725;https://www.imdb.com/name/nm0000662?ref_=nmls_hd;Kiefer Sutherland;;December 21, 1966;Paddington, London, England, UK;1.7;Actor;24;100;1;Sagittarius
724;https://www.imdb.com/name/nm0001804?ref_=nmls_hd;Stanley Tucci;;November 11, 1960;Peekskill, New York, USA;1.7;Actor;Big Night;135;1;Scorpio
723;https://www.imdb.com/name/nm0001099?ref_=nmls_hd;Jeff Daniels;;February 19, 1955;Athens, Georgia, USA;1.9;Actor;The Squid and the Whale;84;5;Pisces
722;https://www.imdb.com/name/nm0005342?ref_=nmls_hd;Norman Reedus;;January 6, 1969;Hollywood, Florida, USA;1.7;Actor;The Walking Dead;82;511;Capricorn
721;https://www.imdb.com/name/nm0000997?ref_=nmls_hd;Gary Busey;Barry Goosey;June 29, 1944;Goose Creek, Texas, USA;1.8;Actor;The Buddy Holly Story;182;1;Cancer
720;https://www.imdb.com/name/nm0000729?ref_=nmls_hd;Casey Affleck;;August 12, 1975;Falmouth, Massachusetts, USA;1.7;Actor;Gone Baby Gone;41;1;Leo
719;https://www.imdb.com/name/nm0001702?ref_=nmls_hd;Roy Scheider;;November 10, 1932;Orange, New Jersey, USA;1.7;Actor;Jaws;90;2;Scorpio
718;https://www.imdb.com/name/nm0355910?ref_=nmls_hd;Michael C. Hall;;February 1, 1971;Raleigh, North Carolina, USA;1.7;Actor;Dexter;32;1;Aquarius
717;https://www.imdb.com/name/nm0451234?ref_=nmls_hd;Irrfan Khan;;January 7, 1967;Jaipur, Rajasthan, India;1.7;Actor;The Lunchbox;152;3328;Capricorn
716;https://www.imdb.com/name/nm0000276?ref_=nmls_hd;Sean Astin;;February 25, 1971;Santa Monica, California, USA;1.7;Actor;The Lord of the Rings: The Two Towers;164;1;Pisces
715;https://www.imdb.com/name/nm0004486?ref_=nmls_hd;Bruno Ganz;Der Engel;March 22, 1941;Zürich-Seebach, Switzerland;1.6;Actor;Der Untergang;127;2817;Aries
714;https://www.imdb.com/name/nm0305558?ref_=nmls_hd;Gael García Bernal;;November 30, 1978;Guadalajara, Jalisco, Mexico;1.7;Actor;Mozart in the Jungle;62;1;Sagittarius
713;https://www.imdb.com/name/nm0000191?ref_=nmls_hd;Ewan McGregor;;March 31, 1971;Perth, Perthshire, Scotland, UK;1.7;Actor;Moulin Rouge!;91;1;Aries
712;https://www.imdb.com/name/nm0158856?ref_=nmls_hd;Choi Min-sik;;January 22, 1962;Seoul, South Korea;1.7;Actor;Oldeuboi;32;2412;Aquarius
711;https://www.imdb.com/name/nm0566948?ref_=nmls_hd;Joel McCrea;McFee;November 5, 1905;South Pasadena, California, USA;1.8;Actor;Foreign Correspondent;94;7;Scorpio
